	Response ID	Date submitted	Last page	Start language	Seed	Date started	Date last action	IP address	What is the domain of the website?	Is the website accessible from the current region?	Does the website show a consent notice?	In what language has the website been written?	In what language has the website been written? [Other]	Does the consent notice present... [...an 'accept all' option?]	Does the consent notice present... [...a 'reject all' option?]	Does the consent notice present... [conditional terms (may, might, or could)?]	Does the consent notice present... [a visibly highlighted link to the privacy/cookie policy?]	Are the 'accept all' and 'reject all' options... [...displayed using the same type of form element?]	Are the 'accept all' and 'reject all' options... [...shown at the same level of the consent notice?]	Is a form element highlighted? If so, is it the one for the most restrictive option?	Is a form element highlighted? If so, is it the one for the most restrictive option? [Comment]	Please copy the text of the consent notice.	What is the font size (in pixels) of the text in the consent notice? 	Where is the following information provided? [the purposes for which cookies are being stored]	Where is the following information provided? [the expiration date of cookies]	Where is the following information provided? [the fact that information is shared with third parties/partners]	Where is the following information provided? [links to privacy policies of third parties]	Where is the following information provided? [the identity of the controller]	Where is the following information provided? [the legal basis for processing]	Does the cookie policy contain the cookies which are being stored by the website?	Does the cookie policy contain the cookies which are being stored by the website? [Comment]	Does the consent notice inform the user of their right to withdraw consent?	Does the consent notice inform the user of their right to withdraw consent? [Comment]	Can consent be given separately for each purpose?	Can consent be given separately for each purpose? [Comment]	Is consent combined with the terms of service?	Are any boxes in the consent notice pre-selected?	Is legitimate interest used as a legal basis for storing non-necessary cookies?	Are the numbers of clicks needed to accept &amp; reject consent equal?	Does the consent notice produce a visual effect when interacted with?	Does the consent notice produce a visual effect when interacted with? [Comment]	Is the site accessible without providing consent?	Is the site accessible without providing consent? [Comment]	Can consent be withdrawn through the same electronic interface?	Can consent be withdrawn through the same electronic interface? [Comment]	Do you want to mention anything else?	Total time	Group time: Website information	Question time: G1Q00001	Question time: G1Q00002	Question time: G1Q00003	Question time: G1Q00004	Group time: Consent notice - first level	Question time: G02Q29	Question time: G02Q28	Question time: G2Q00002	Question time: G2Q00005	Question time: G2Q00006	Group time: Consent notice &amp; legal documents – in-depth analysis	Question time: G03Q29	Question time: G3Q00006	Question time: G3Q00007	Question time: G3Q00009	Question time: G3Q00010	Question time: G3Q00012	Question time: G3Q00013	Group time: Acceptance/rejection of consent	Question time: G3Q00011	Question time: G3Q00014	Question time: G3Q00016	Group time: Withdrawal of consent	Question time: G3Q00015	Group time: Extra information	Question time: G3Q00017	Please copy the translated (English-language) text of the consent notice.
282	297	2024-04-13 14:30:25	1.0	en	1726054339.0	2024-04-13 14:22:18	2024-04-13 14:30:25	2a02:a459:1240:1:dc2f:470a:fca:dcb7	conservative.ca	Yes	No	English												privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned						No		No						consent should be withdrawn through the browser settings	Strictly speaking, there is the possibility to opt out using the tool provided by the Digital Advertising Alliance, but I consider this to be effectively opting out through browser settings.	We might need to discuss how to handle the 'opt-out through industry standards organization'-case.	487.08																												
283	298	2024-04-13 14:47:28	1.0	en	679263421.0	2024-04-13 14:30:41	2024-04-13 14:47:28	2a02:a459:1240:1:dc2f:470a:fca:dcb7	gva.be	Yes	Yes	Dutch		Yes	Yes	Yes	Yes	Yes	No	form element other than most restrictive highlighted		"Mediahuis en derden gebruiken cookies en vergelijkbare technieken (“cookies”) voor het opslaan en/of openen van informatie op een apparaat, functionele en analytische doeleinden, advertentie- en contentmeting, inzichten in het publiek en productontwikkeling, social media-functionaliteiten, gepersonaliseerde advertenties en gepersonaliseerde content. Daarbij kunnen persoonsgegevens worden verwerkt, zoals informatie over uw apparaat, uw browser en uw gebruik van de website.

Door op ""Akkoord"" te klikken, gaat u hiermee akkoord. Wil u niet alle soorten cookies toestaan, klik dan op “Stel voorkeuren in”. U kan uw voorkeuren op elk moment aanpassen via de link ""Privacy voorkeuren beheren"" onderaan elke pagina. Wenst u meer uitleg over het gebruik van uw gegevens? Lees dan ons privacybeleid en cookiebeleid.

Onze partners en wij verwerken als volgt gegevens:
Gepersonaliseerde advertenties en content, advertentie- en contentmetingen, doelgroepenonderzoek en ontwikkeling van diensten, Informatie op een apparaat opslaan en/of openen, Social Media, Uitgebreide meting"	15.0	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	consent notice	individual cookies mentioned		information is given on first level of notice		at least one checkbox refers to multiple purposes	"Social Media cookies are defined as ""Deze cookies maken het mogelijk dat je inhoud van onze website/app kan “liken” of delen via social media. Hou er rekening mee dat de social media partijen de informatie die zij via deze cookies verzamelen (bijvoorbeeld je surfgedrag) ook kunnen gebruiken om een profiel van je op te bouwen en je gerichte inhoud of advertenties te tonen."""	No	No	No	No	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			1007.73																												Media House and third parties use cookies and similar technologies (“cookies”) to store and/or access information on a device, functional and analytical purposes, advertising and content measurement, audience insights and product development, social media functionality, personalized advertising and personalized content. This may process personal data, such as information about your device, your browser and your use of the website. By clicking on “Accept” you agree to this. If you do not want to allow all types of cookies, then click on “Settle Preferences”. You can adjust your preferences at any time via the “Manage Privacy Preferences” link below each page. If you want more explanation about the use of your data? read our privacy policy and cookie policy. Our partners and processes as complete data: Social Advertising and Media Advertising and Content Storage, Content Measurement and Development
284	299	2024-04-13 14:57:51	1.0	en	1780591762.0	2024-04-13 14:47:33	2024-04-13 14:57:51	2a02:a459:1240:1:dc2f:470a:fca:dcb7	etsy.com	Yes	Yes	English		Yes	No	No	Yes			form element other than most restrictive highlighted		In order to give you the best experience, we use cookies and similar technologies for performance, analytics, personalization, advertising, and to help our site function. Want to know more? Read our Cookie Policy. You can change your preferences any time in your Privacy Settings.	16.0	consent notice	privacy policy(or cookie policy)	consent notice	privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	individual cookies mentioned		information is given on first level of notice		at least one checkbox refers to multiple purposes	"Site Customisation is defined as: ""Cookies and similar technologies are used to improve your experience, to do things like:

remember your login, general, and regional preferences
personalize content, search, recommendations, and offers""

This entails a combination of functional cookies with personalisation functionalities"	No	No	No	No	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website		"Interestingly, the cookie policy has a paragraph entitled ""Consent, Contract, and Legitimate Interests in Processing"", but this paragraph does not seem to mention the use of legitimate interests (except possibly through a reference to the privacy policy)."	617.66																												In order to give you the best experience, we use cookies and similar technologies for performance, analytics, personalization, advertising, and to help our site function. Want to know more? Read our Cookie Policy. You can change your preferences any time in your Privacy Settings.
285	300	2024-04-13 15:03:04	1.0	en	1357431031.0	2024-04-13 14:58:16	2024-04-13 15:03:04	2a02:a459:1240:1:dc2f:470a:fca:dcb7	hmrc.gov.uk	Yes	Yes	English		Yes	Yes	No	Yes	Yes	Yes	no form element highlighted		"We use some essential cookies to make this website work.

We’d like to set additional cookies to understand how you use GOV.UK, remember your settings and improve government services.

We also use cookies set by other sites to help us deliver content from their services."	19.0	consent notice	privacy policy(or cookie policy)	consent notice	privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	individual cookies mentioned		information is missing		each checkbox refers to one purpose		No	No	No	Yes	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			287.6																												"We use some essential cookies to make this website work.

We’d like to set additional cookies to understand how you use GOV.UK, remember your settings and improve government services.

We also use cookies set by other sites to help us deliver content from their services."
286	301	2024-04-13 20:10:59	1.0	en	1179099382.0	2024-04-13 20:03:26	2024-04-13 20:10:59	2a02:a459:1240:1:dc2f:470a:fca:dcb7	kela.fi	Yes	No	English												privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	categories of cookies mentioned						No		No							No non-necessary cookies seem to be used. (The only possible exception would be the statistics gathered in relation to the Your Europe portal, but there seems to be a legal obligation for gathering said data.)	Even though the website is primarily available in Finnish, we analyse the English-language version.	452.47																												
287	302	2024-04-13 20:15:00	1.0	en		2024-04-13 20:12:00	2024-04-13 20:15:00	2a02:a459:1240:1:dc2f:470a:fca:dcb7	gov.on.ca	Yes	No	English												privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned						No		No						consent should be withdrawn through the browser settings			175.79																												
288	303	2024-04-13 20:24:23	1.0	en	241164024.0	2024-04-13 20:17:01	2024-04-13 20:24:23	2a02:a459:1240:1:dc2f:470a:fca:dcb7	expressen.se	Yes	Yes	Swedish		Yes	Yes	No	Yes	Yes	No	form element other than most restrictive highlighted		"Vi värdesätter dina val. Expressen, våra magasin och undersajter behöver ditt godkännande.

Vi använder kakor
För att du ska få en så bra upplevelse som möjligt på webbplatsen använder vi kakor och liknande tekniker (som vi tillsammans kallas kakor) som innebär att vi lagrar och/eller får tillgång till viss information på din enhet såsom mobil eller dator.

Vi använder också kakor från olika partners för flera av ändamålen som listas nedan som innebär att även partnern lagrar och/eller får tillgång till viss information på din enhet såsom mobil eller dator.

Användningen av kakor innebär att vi behandlar dina personuppgifter såsom IP-adress, unika identifierare och beteendedata. Vi och våra partners använder samtycke eller berättigat intresse som laglig grund för behandlingen av dina personuppgifter.

Dina val
Om du klickar på knappen ""Okej"" på denna sida samtycker du till att vi använder kakor för de ändamål som listas nedan förutom ändamålet ""Nödvändiga kakor, tekniker och funktioner"".
Du kan anpassa dina val ytterligare under knappen ""Inställningar"" där du kan välja vilka ändamål du vill neka eller godkänna.
Klicka på respektive ändamål för att se detaljerad information om ändamålet och för att neka personuppgiftsbehandling som baseras på samtycke eller berättigat intresse.
Under ändamålet ""Annonsrelaterade ändamål - i samarbete med annonspartners"" kan du neka eller godkänna annonsrelaterade ändamål var för sig. Notera att när du godkänner annonsrelaterade ändamål och partners så godkänner du även ändamålen som listas under så kallad ""Sammankopplad databehandling"" såsom t ex. ""Säkerställa säkerhet, förhindra och upptäcka bedrägerier samt åtgärda fel"".
Klicka på ""Inställningar per partner"" för att se detaljerad information om våra partners och för att göra dina val per partner. Där ser du även vilken typ av data partnern behandlar, samt information om de kakor som partnern lagrar på din enhet såsom mobil eller dator.
Du kan närsomhelst återkalla ditt samtycke, invända mot behandlingen samt justera dina val genom att klicka på ""Hantera kakor"" på denna webbplats.
I vår Kakpolicy och Personuppgiftspolicy kan du fördjupa dig ytterligare.

Att visa anpassade annonser och innehåll, att skapa en annons- och innehållsprofil, annons- och innehållsmätning, målgruppsstatistik, analys, utveckling och förbättring av produkter, marknadsföring på andra plattformar, att visa externt innehåll från bl a sociala medier, ljud och video. Vi och våra partners använder personuppgifter såsom IP-adress, unika identifierare, surfhistorik och teknisk information om din enhet. Dina exakta uppgifter om geografisk position kan användas för bl a anpassning av annonser, och din enhet kan identifieras baserat på din enhets egenskaper. Vi använder även nödvändiga och funktionella cookies och tekniker."	16.0	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	consent notice	individual cookies mentioned		information is given on first level of notice		at least one checkbox refers to multiple purposes	"Cookies for external content are used for purposes which are not under the control of the site: ""Vi visar innehåll från andra medier och använder teknik som tillhandahålls av externa samarbetspartners för att möjliggöra vissa funktioner på sajten/i appen. Exempelvis visar vi innehåll från sociala medier, ljud- och videospelare. I samband med detta kan leverantören av det aktuella mediet samla in data om dig, t ex IP-adress, information om din enhet och vilken sida du har besökt, och använda för ändamål som vi inte kontrollerar, exempelvis för att utveckla och förbättra tjänster samt att skapa och använda profiler för att välja, visa och mäta personaliserade annonser och innehåll."""	No	Yes	Yes	No	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			441.77																												We can also identify and adjust cookies as well as cookies when browsing on the site to provide you with the best possible experience on the site, we use cookies and similar technologies (which we collectively refer to as cookie-approval information) which means that we store and/or get access to certain information on your device such as IP address, unique identifiers and behavioral data. We also use cookies from different partners for several of the purposes listed below which means that your partner also stores and/or gets access to certain information on your device such as the mobile or computer partner type. The use of cookies on the listed content, the use of cookies for the purposes listed below means that we process your personal information such as IP address, unique identifiers and behavioral data. We also use cookies from different partners for several of the purposes listed below as the legal basis for the process
289	304	2024-04-13 20:36:17	1.0	en	754258549.0	2024-04-13 20:28:26	2024-04-13 20:36:17	2a02:a459:1240:1:dc2f:470a:fca:dcb7	meinbezirk.at	Yes	Yes	German		Yes	Yes	No	No	Yes	Yes	form element other than most restrictive highlighted		"Wir und unsere 815 Partner speichern und/ oder greifen auf Informationen auf einem Gerät zu, z.B. auf eindeutige Kennungen in Cookies, um personenbezogene Daten zu verarbeiten. Sie können Ihre Präferenzen akzeptieren oder verwalten, einschließlich Ihres Widerspruchsrechts bei berechtigtem Interesse. Klicken Sie dazu bitte unten oder besuchen Sie jederzeit die Seite der Datenschutzrichtlinie. Diese Präferenzen werden unseren Partnern signalisiert und haben keinen Einfluss auf Surfdaten.
Wir und unsere Partner verarbeiten Daten, um Folgendes bereitzustellen:
Verwendung genauer Standortdaten. Endgeräteeigenschaften zur Identifikation aktiv abfragen. Speichern von oder Zugriff auf Informationen auf einem Endgerät. Personalisierte Werbung und Inhalte, Messung von Werbeleistung und der Performance von Inhalten, Zielgruppenforschung sowie Entwicklung und Verbesserung von Angeboten."	11.2	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	consent notice	individual cookies mentioned		information is given on first level of notice		each checkbox refers to one purpose		No	Yes	Yes	Yes	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			471.78																												We and our 815 partners store and/or access information on a device, such as unique identifiers in cookies, to process personal information. You can accept or manage your preferences, including your right to object if you have legitimate interests. Please click below or visit the Privacy Policy page at any time. These preferences are signaled to our partners and have no influence on browsing data. We and our partners process data to provide you with the following: use of precise location data. Actively consult end device properties to identify. store or access information on a terminal device. Personalized advertising and content, measurement of advertising performance and content performance, target audience research and development and improvement of offers.
290	305	2024-04-13 20:40:54	1.0	en	2115097219.0	2024-04-13 20:36:24	2024-04-13 20:40:54	2a02:a459:1240:1:dc2f:470a:fca:dcb7	house.gov	Yes	No	English												privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned						No		No						consent should be withdrawn through the browser settings		"Interestingly, the privacy policy states the following: ""We may use cookies in order to customize this site for return visitors.  These cookies are not required for site functionality.""

The following sentence is present in the terms of service (and the privacy policy): ""Anyone using this system consents to the monitoring of their use by system or security personnel."" I do not consider this as consent to the use of cookies."	270.03																												
291	306	2024-04-13 20:50:31	1.0	en	831687566.0	2024-04-13 20:41:13	2024-04-13 20:50:31	2a02:a459:1240:1:dc2f:470a:fca:dcb7	leeds.gov.uk	Yes	Yes	English		Yes	Yes	No	No	Yes	Yes	no form element highlighted		By clicking “Accept All Cookies”, you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts.	13.008	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	individual cookies mentioned		information is missing		at least one checkbox refers to multiple purposes	"Social media cookies are defined as: ""These cookies are set by a range of social media services that we have added to the site to enable you to share our content with your friends and networks. They are capable of tracking your browser across other sites and building up a profile of your interests."""	No	No	No	Yes	visual effect occurs on-screen		no difference in functionality		consent should be withdrawn through the browser settings	"The cookie policy states that ""you can change your cookie settings at any time.""  However, it does not provide nay method for doing so, other than referring to the browser settings."		557.25																												By clicking “Accept All Cookies”, you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts.
292	307	2024-04-14 10:33:47	1.0	en	1471117781.0	2024-04-14 10:28:38	2024-04-14 10:33:47	2a02:a459:1240:1:fd22:4a98:24ac:fdc1	ssense.com	Yes	Yes	English		Yes	Yes	No	Yes	Yes	Yes	no form element highlighted		SSENSE and its third-party partners use cookies to provide a personalized experience based on your browsing activity. Select your preferences and read our Cookie Policy for more information Cookies	13.008	consent notice	consent notice	consent notice	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	individual cookies mentioned		information is given on different level of notice		each checkbox refers to one purpose		No	No	No	Yes	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			308.16																												SSENSE and its third-party partners use cookies to provide a personalized experience based on your browsing activity. Select your preferences and read our Cookie Policy for more information Cookies
293	308	2024-04-14 10:44:06	1.0	en	361607303.0	2024-04-14 10:38:31	2024-04-14 10:44:06	2a02:a459:1240:1:fd22:4a98:24ac:fdc1	clave.gob.es	Yes	No	English												privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	individual cookies mentioned						No		No						consent should be withdrawn through the browser settings		"The website is primarily available in Spanish, but we access and analyse the English-language website.

This website was analysed from my residential IP, due to the VPN connection giving SSL protocol errors."	334.66																												
294	309	2024-04-14 11:08:43	1.0	en	1660332752.0	2024-04-14 11:02:01	2024-04-14 11:08:43	2a02:a459:1240:1:fd22:4a98:24ac:fdc1	interieur.gouv.fr	Yes	Yes	French		Yes	Yes	No	No	Yes	Yes	no form element highlighted		SSENSE and its third-party partners use cookies to provide a personalized experience based on your browsing activity. Select your preferences and read our Cookie Policy for more informationCookies	16.0	consent notice	privacy policy(or cookie policy)	consent notice	consent notice	privacy policy(or cookie policy)	nowhere	individual cookies mentioned		information is missing		each checkbox refers to one purpose	The checkboxes seem to refer to services instead of purposes.	No	No	No	Yes	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			402.93																												SSENSE and its third-party partners use cookies to provide a personalized experience based on your browsing activity.
295	310	2024-04-14 11:18:53	1.0	en	535900195.0	2024-04-14 11:09:14	2024-04-14 11:18:53	2a02:a459:1240:1:fd22:4a98:24ac:fdc1	bedbathandbeyond.com	Yes	Yes	English		No	No	No	No			no form element highlighted		Bed Bath & Beyond uses cookies to ensure you get the best experience on our site. To consent, please continue shopping. Learn More	14.0	consent notice	nowhere	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	categories of cookies mentioned		information is missing		at least one checkbox refers to multiple purposes	There are no options, so it can be reasonably assumed that this site uses a 'take all or none' approach.	No	No	No	No	visual effect occurs on-screen			"It is not possible to reject consent.

With respect to consent to receiving emails, the terms of service contain an interesting clause: ""You may have the right to withdraw this consent under applicable law, but if you do, we may cancel your rights to access the Sites."""	consent should be withdrawn through the browser settings	The privacy policy refers to the opt-out page of the Network Advertising Initiative.		579.65																												Bed Bath & Beyond uses cookies to ensure you get the best experience on our site. To consent, please continue shopping. Learn More
296	311	2024-04-14 11:24:11	1.0	en	1473521833.0	2024-04-14 11:19:09	2024-04-14 11:24:11	2a02:a459:1240:1:fd22:4a98:24ac:fdc1	usajobs.gov	Yes	No	English												nowhere	nowhere	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	no information present						No		No						there is no method to withdraw consent			301.5																												
297	312	2024-04-14 12:25:37	1.0	en	1672284747.0	2024-04-14 12:21:08	2024-04-14 12:25:37	2a02:a459:1240:1:fd22:4a98:24ac:fdc1	expresso.pt	Yes	Yes	Portuguese		Yes	No	No	Yes			form element other than most restrictive highlighted		"Nós e os nossos parceiros armazenamos e acedemos a informações não confidenciais do seu dispositivo, como cookies ou um identificador de dispositivo único, e processamos dados pessoais, como endereços IP e identificadores de cookies, para fins de processamento de dados, como a apresentação de anúncios personalizados, medição das preferências dos nossos visitantes, entre outros. Pode alterar as suas preferências em qualquer altura na nossa Política de Privacidade e na nossa Política de Cookies neste Website. Alguns parceiros não solicitam a sua autorização para processar os seus dados e baseiam-se nos respetivos interesses comerciais legítimos. Pode opor-se a esse processamento de dados ao clicar em ""Saiba mais"".

Nós e os nossos parceiros efetuamos o seguinte processamento de dados:
Armazenar e/ou aceder a informações num dispositivo, Dados de geolocalização precisos e identificação através da procura de dispositivos, Publicidade e conteúdos personalizados, medição de publicidade e conteúdos, estudos de audiência e desenvolvimento de serviços"	15.0	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	consent notice	individual cookies mentioned		information is given on first level of notice		each checkbox refers to one purpose		No	Yes	Yes	No	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			268.62																												"We and our partners store and access non-confidential information on your device, such as cookies or a unique device identifier, and process personal data, such as IP addresses and cookie identifiers, for data processing purposes, such as displaying personalized ads, measuring our visitor preferences, among others. You can change your preferences at any time in our Privacy Policy and in our Cookie Policy on this Website. Some partners do not request your permission to process your data and rely on their legitimate business interests. You can object to this data processing by clicking on ""Learn More"".We and our partners perform the following data processing: Storage and/or access to information on a device, Accurate Geolocation Data and identification through device search, Advertising and personalized content, advertising media and audience studies, and development services."
298	313	2024-04-14 12:37:48	1.0	en	1815406913.0	2024-04-14 12:26:03	2024-04-14 12:37:48	2a02:a459:1240:1:fd22:4a98:24ac:fdc1	bathandbodyworks.com	Yes	Not by default, but there is a consent notice	English		No	No	No	Yes			no form element highlighted		"We use cookie technology for basic website services and functions like site navigation, performance, troubleshooting, security and optimization; analytics; personalized shopping experiences; and advertising. Some cookies are set by third parties. For more information and to change your cookie preferences, review the information, below, and visit cookie technology details. If you change cookie preferences, click “Save Settings” to save your preferences. You will need to renew this choice each time you clear your cookies and any time you visit our site using a new browser or device. You can also update your browser or device settings, or visit the centralized opt-out tools of the Network Advertising Initiative and Digital Advertising Alliance.

ANALYTICS AND PERSONALIZATION COOKIES
These allow us to analyze how you use our website and provide you with personalized shopping experiences. Some of these cookies are set by third parties. See cookie technology details

TARGETING COOKIES
These allow us and other businesses to see how you use this and other websites to show you products and ads you might like in different channels. Some of these cookies are set by third parties, or the information that’s collected may be shared with third parties. See cookie technology details"	14.0	consent notice	nowhere	consent notice	nowhere	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned		information is missing		each checkbox refers to one purpose		No	Yes	No	No	visual effect occurs on-screen				consent can be withdrawn through the website			704.79																												"We use cookie technology for basic website services and functions like site navigation, performance, troubleshooting, security and optimization; analytics; personalized shopping experiences; and advertising. Some cookies are set by third parties. For more information and to change your cookie preferences, review the information, below, and visit cookie technology details. If you change cookie preferences, click “Save Settings” to save your preferences. You will need to renew this choice each time you clear your cookies and any time you visit our site using a new browser or device. You can also update your browser or device settings, or visit the centralized opt-out tools of the Network Advertising Initiative and Digital Advertising Alliance.

ANALYTICS AND PERSONALIZATION COOKIES
These allow us to analyze how you use our website and provide you with personalized shopping experiences. Some of these cookies are set by third parties. See cookie technology details

TARGETING COOKIES
These allow us and other businesses to see how you use this and other websites to show you products and ads you might like in different channels. Some of these cookies are set by third parties, or the information that’s collected may be shared with third parties. See cookie technology details"
299	314	2024-04-14 12:45:42	1.0	en	515830589.0	2024-04-14 12:38:18	2024-04-14 12:45:42	2a02:a459:1240:1:fd22:4a98:24ac:fdc1	temu.com	Yes	Yes	English		Yes	Yes	No	Yes	Yes	Yes	form element other than most restrictive highlighted		To give you the best experience, we use cookies and similar technologies that are essential to provide you our services and features and for performance, analytics and marketing purposes. Click “Accept all” or “Reject all” if you’d like to allow or reject all cookies for performance, analytics and marketing purposes. Alternatively, you can choose which types of cookies you’d like to accept or disable by clicking “Customize cookies” below or any time in your privacy settings. For more details, see our Privacy Policy and Cookie and Similar Technologies Policy.	14.0	consent notice	nowhere	consent notice	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	categories of cookies mentioned		information is given on first level of notice		at least one checkbox refers to multiple purposes	"Analytics and marketing cookies are defined as ""With your consent, we use cookies and similar technologies to promote our services on other websites, and to measure the effectiveness of our own marketing campaigns. Our advertising partners may collect your personal data to build a profile of your interests and show you relevant adverts on other sites.If you do not allow these cookies, you will experience less targeted advertising."""	No	No	No	Yes	visual effect occurs on-screen	Interestingly, I had to click the accept/reject all button twice.	no difference in functionality		consent can be withdrawn through the website			443.2																												To give you the best experience, we use cookies and similar technologies that are essential to provide you our services and features and for performance, analytics and marketing purposes. Click “Accept all” or “Reject all” if you’d like to allow or reject all cookies for performance, analytics and marketing purposes. Alternatively, you can choose which types of cookies you’d like to accept or disable by clicking “Customize cookies” below or any time in your privacy settings. For more details, see our Privacy Policy and Cookie and Similar Technologies Policy.
300	315	2024-04-14 20:26:34	1.0	en	2044389790.0	2024-04-14 20:16:36	2024-04-14 20:26:34	2a02:a459:1240:1:d84c:c238:e3b3:41d7	sportchek.ca	Yes	No	English												privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned						No		No						consent should be withdrawn through the browser settings			597.07																												
301	316	2024-04-14 20:34:03	1.0	en	948489142.0	2024-04-14 20:27:03	2024-04-14 20:34:03	2a02:a459:1240:1:d84c:c238:e3b3:41d7	uscis.gov	Yes	No	English												privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned						No		No						consent should be withdrawn through the browser settings			419.8																												
302	317	2024-04-14 21:01:21	1.0	en	1898641721.0	2024-04-14 20:56:05	2024-04-14 21:01:21	2a02:a459:1240:1:d84c:c238:e3b3:41d7	amazon.de	Yes	Yes	English		Yes	Yes	Yes	Yes	Yes	Yes	form element other than most restrictive highlighted		"If you agree, we may use your personal information from any of these Amazon services to personalize the ads we show you on other services. For example, we may use your Prime Video Watch history to personalize the ads we show you on our Stores or on Fire TV. We may also use personal information we receive from third parties (like demographic information).

In addition, if you agree, we’ll also use cookies to complement your shopping experience across the Amazon stores as described in our Cookie notice. Your choice applies to using first-party and third-party advertising cookies on this service. Cookies store or access standard device information such as a unique identifier. The 103 third parties who use cookies on this service do so for their purposes of displaying and measuring personalised ads, generating audience insights, and developing and improving products.

In any case, we use cookies and similar tools that are necessary to enable you to make purchases, to enhance your shopping experiences and to provide our services, as detailed in our Cookie notice. We also use these cookies to understand how customers use our services (for example, by measuring site visits) so we can make improvements. Click “Decline” to reject, or “Customise” to make more detailed advertising choices, or learn more. You can change your choices at any time by visiting Cookies and advertising choices. To learn more about how and for what purposes Amazon uses personal information (such as Store order history or Prime Video Watch history) and cookies, please visit our Privacy notice and our Cookie notice."	14.0	consent notice	privacy policy(or cookie policy)	consent notice	privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	categories of cookies mentioned		information is given on first level of notice		at least one checkbox refers to multiple purposes	"Third party advertising cookies are used ""to work with approved third parties in the process of delivering content, to measure ad effectiveness, and to perform services on behalf of Amazon."""	No	No	No	Yes	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			316.78																												"If you agree, we may use your personal information from any of these Amazon services to personalize the ads we show you on other services. For example, we may use your Prime Video Watch history to personalize the ads we show you on our Stores or on Fire TV. We may also use personal information we receive from third parties (like demographic information).

In addition, if you agree, we’ll also use cookies to complement your shopping experience across the Amazon stores as described in our Cookie notice. Your choice applies to using first-party and third-party advertising cookies on this service. Cookies store or access standard device information such as a unique identifier. The 103 third parties who use cookies on this service do so for their purposes of displaying and measuring personalised ads, generating audience insights, and developing and improving products.

In any case, we use cookies and similar tools that are necessary to enable you to make purchases, to enhance your shopping experiences and to provide our services, as detailed in our Cookie notice. We also use these cookies to understand how customers use our services (for example, by measuring site visits) so we can make improvements. Click “Decline” to reject, or “Customise” to make more detailed advertising choices, or learn more. You can change your choices at any time by visiting Cookies and advertising choices. To learn more about how and for what purposes Amazon uses personal information (such as Store order history or Prime Video Watch history) and cookies, please visit our Privacy notice and our Cookie notice."
303	318	2024-04-14 21:06:00	1.0	en		2024-04-14 21:01:00	2024-04-14 21:06:00	2a02:a459:1240:1:d84c:c238:e3b3:41d7	amzn.to	Yes	No	English												privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned						No		No						consent should be withdrawn through the browser settings			328.61																												
